title,year,imdbId,tmdbId,lastApiCall,lastApiCallFailed,cachedYear,cachedRating,cachedOverview,cachedGenres,cachedRuntime,cachedSeasonCount,cachedImageUrl,cachedFreeServices,cachedPaidServices
Citizen Kane,1941,tt0033467,,2025-11-17T11:09:18.318Z,false,1941,81,A psychological study of Charles Foster Kane; a powerful newspaper tycoon whose idealism was corrupted as he rose to enormous wealth and power.,Drama|Mystery,119,,https://cdn.movieofthenight.com/show/759/poster/vertical/en/480.jpg?Expires=1784700177&Signature=QrtwJKaP2MrNKjsWGp0mVegH782yUCYXrFxGYedZZMbvBOkPSX8zeTFerYLF4~mEevHg~xFRvQ80axl~ErrDwHMRmeMjJK4hgiV2nYqCVed2CDjEDCZkdE3XjX76sIsjCW2HYW8E9J9uDw9lDBIzImMPHgHWO5ILF~AFZQxj-HyRWf7Ghh81vwpnkVRb5sadI2CtZ8WT2Zq5WR6lw-N7D5liVDSIwTYg3CrKhHa2Ngr1OAjWLXzQ6lxRL-BJMtM~VXTWtNzTvZsmgv~nY6ksrTXIgM6Sr5Ih0G6MviI2sU~431YDM6BQ-tDvnlKvpEKyNZcisUnsmtqW0dAQkb1llA__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
On the Waterfront,1954,tt0047296,,2025-11-17T11:09:18.318Z,false,1954,80,A prizefighter-turned-longshoreman with a conscience goes up against labor leaders to expose corruption; extortion and murder among the union ranks.,Crime|Drama|Thriller,103,,https://cdn.movieofthenight.com/show/2946/poster/vertical/en/480.jpg?Expires=1784732059&Signature=gpUTsuFfVGsylgQf~softiFDODufieayMU8-whirkuLUlBh2nyk67sv61lq4Ze66ByDmTUE-bNdf7OpNKxoIu4q7Nj61HmdIpD7mNz0TYWKVqgEn0U7--VNgttQXEyIIPaOVE5XtKUXW7JPxQfnzzlCYJAXEAvgoXRC5Q8mlFsjNZKSa52PZptf4165VPG8aMB9crC68ZIcmMVXtiO3S1XPy-imMOhv6yZTH8U1i9Ma4Gy8Ss0IO4ZI~XaqH~OARQ3t28NRRFZnZoHMK6fVV2DuUe61hjeZXO9w~b7jCM1OABCFe05mjqCSvyZbHKbBcE06-C9p4dgbe81azMjBa6w__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
Roman Holiday,1953,tt0046250,,2025-11-17T11:09:18.318Z,true,,,,,,,,,
Breakfast at Tiffany's,1961,tt0054698,,2025-11-17T11:09:18.318Z,false,1961,75,George Peppard is the struggling and 'sponsored' young writer who finds himself swept into Holly's dizzying; delightfully unstructured lifestyle as she determinedly scours Manhattan for a suitable millionaire to marry.,Comedy|Drama|Romance,110,,https://cdn.movieofthenight.com/show/2506/poster/vertical/en/480.jpg?Expires=1784737142&Signature=d~KB55pxo0S~q~RTTqTmeWi-rnuMYNSivLCyrgQl4Y~jFs1hODsQrSw-13ORNiptxbvIMKhppKoOGA39yEE8OFqWg02hZefBeIjIAybU0ENKbYIVhmXZ6BV44kQjKSs4iUNnqfFtVQhavzlklUbMDiu3y9Ogfc5a8EH~3TtgWaG9KkCEcrhA9NZnSj-HCCwK7xhZY0Sk72o6PLnqBSA4yq1kD8T2bBK6uf9~e34Ur0CuFvpHAovzxceWkC5itbHk4YbvifVk54OhvmPMKQowp9z4QnvGJAWpH06lJ6xH1uX1OKN0q6WBTowVvNBOcHUFRli-Z2go~GGbmc~H1lD-Sw__&Key-Pair-Id=KK4HN3OO4AT5R,Hulu:https,Prime Video:https|Prime Video:https
An Affair to Remember,1957,tt0050105,,2025-11-17T11:09:18.318Z,false,1957,73,Although engaged to others; two cruise-ship passengers fall in love and plan to reunite six months later atop the Empire State Building.,Drama|Romance,110,,https://cdn.movieofthenight.com/show/10981/poster/vertical/en/480.jpg?Expires=1784780822&Signature=UcuUQ--GrKcqZk2fJLYvKYmuWUHqbMC8S-9AxGLqy-NUyZciOf8PvGDsCELRMgM9pEKDZGc2rgXcfD7oxZh0ebYjdSt2qPOAsd~BNoaIcL6qkpv04XmP~Yo5bMMNtXKhl9rcPQqK26ePjvO5VcKtbDho60E-pbbaZ9bKG0C-o~IlhT~zc7d8fd-Ps6zJ1Nr-xZzM7HPVKlPpqekLJdCA2SDKk7B5jLvCOfHYi7bXJoYsQT0d-0y4DB2yzfzh30QAhyvobWfabZOdC3VSuQcQ~YuT3Fxcu8nmAvVw2rKXK7qAnrAp5R-F6b1sdiv3DTeECkjMsgxUFHxGYDjMzSCxeg__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https|Prime Video:https
The Philadelphia Story,1940,tt0032904,,2025-11-17T11:09:18.318Z,false,1940,77,On the eve of her wedding; a wealthy woman gets caught in a bind when her ex-husband and a handsome reporter make an appearance in her life.,Comedy|Romance,107,,https://cdn.movieofthenight.com/show/6214/poster/vertical/en/480.jpg?Expires=1785522638&Signature=X6jNYVb~dz-vY7Fj9GCrPc94E~QwDCZxvxOMaHRaXS3oNi2jBwFNYpI7Y3JQdHSsC7xbA2dmsQ8zVlXdBar5nEhM-2WsgoT9FxQvb1vlGuJ03ku3cxt2-N8J7-~62h2m4XQECE5X8K5ZE37x9OUe39Bj3CQd3~KJaATwvS9GEGXKnGAW19nTC4v45tV5-uDEbJ6Pe4EELobs-CDuZ5tZydwoTmdgsOWq4b5pEBV0RRJZiqALMo8Yda6LN5p~5SFKKQjtpUKYhtruMBfoILKqJ0DDVxZds7-udXwpcQ1g~eMePq~Xxj~bjYcy1I4LSQlvF~oRKgwS6FypvZoCfdT6lA__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
Guess Who's Coming to Dinner,1967,tt0061735,,2025-11-17T11:09:18.318Z,false,1967,77,A daughter visits her family to introduce them to her Black fiancé; whose kindness and loving demeanor changes the hearts of her reluctant parents.,Drama,103,,https://cdn.movieofthenight.com/show/8447/poster/vertical/en/480.jpg?Expires=1784760636&Signature=LBE3LJxcSJkwtAJGbl869vHvlstSSwLpbxhN3ILEgnHVffQxmQc8F8He7EWykcFg10D3I2MRuPztvJcKG1B~pIZUntRuVwAc1O31Q3vxSHkl8Rk0xD85DNSr~yOg9Yeu2v6vQGsQs6RC-WJAEc3Bcr2~PQJpbCniVRtlHH~n0lM1fhaNg9Zsn5HogYP-sSbMPi6QUl~CUalEKIWd02ecTgycMuHblGagsAKADjb7SevJJaG4s0wyUyR9Bb~cu1qyu5mnipBNKOUzo6i4RLKD9pSFoUwbs5eVQcBeYx2W8ERdelLC8djmr2iL7juI3muzNm8BpBGeDekgs2FJe4zOXg__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https|Prime Video:https
Cool Hand Luke,1967,tt0061512,,2025-11-17T11:09:18.318Z,false,1967,79,A brooding loner is sentenced to a prison chain gang; stands up to the Nazi-like guards.,Crime|Drama,121,,https://cdn.movieofthenight.com/show/2567/poster/vertical/en/480.jpg?Expires=1784737686&Signature=ZPH0fVFAccxFf5ldq0cfHVaovpAmFZ4zVv3em9u8PZYqOaLb56LV366a9IecqgtsJGFE1R5ybDXDzavu14fDNiXbnoQbm9zF5FU4wPUqN6q3pX-K2M~lug2CIKcdEHl057jEwaHr7ChPS1~-FWYiAuz-TczpkWaoNm5eywDLq5fbJYGrwvZn9CR-LRM8twtt38I2oNh3VeLMX5dLo3mdcblbaOl6fAQh8eCTc2KaldJ9Og~6OFj8OpmJSXmzlyputF~~yNRcGxMrDBSyX31CZt6Ifz2-Nw1wPm-xmIMPxvrhcKnALoOebPGFjIE8kdWZk6kA0UdqgXR63DCa7HGR7g__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
The Great Escape,1963,tt0057115,,2025-11-17T11:09:18.318Z,false,1963,81,The award-winning; high-energy World War II epic about a maximum-security Nazi POW camp that three U.S. military prisoners attempt to break out of.,Adventure|Drama|Thriller,172,,https://cdn.movieofthenight.com/show/1711/poster/vertical/en/480.jpg?Expires=1782483574&Signature=Mft7F3hrARJ1pGwKj6AHvevV7zQsDuBdgIT6S0LNH7RVi2L1WySOLPMnHJlm5FteGI87gUeXhHGTJmVbK7iUwR84l32egvHo-OV9BfxRgEyGbCAY1w-Z379RR2MiuKSaRkdtd~YAdXzZZqLcTd1jAFjiUpfkccKjYtj~lg--y3~z39zGNPTYL4qMlhWHOFCF-Zuh10Glm4Qex5Qr1uhDgOwMIJ9HZ5JS7NWX86EQRWhnx1kgBZ5xLvxroT0EO2zeWycvDeJbXAIZbfwQiv92U2Xvpwap7gg4NGDuM69s77Qtc4VSzypKg5zHkpRhjN9jNhq2iEeOUDPh9CGUe2joog__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https|Prime Video:https
Sunset Boulevard,1950,tt0043014,,2025-11-17T11:09:18.318Z,true,,,,,,,,,
